STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
frison	4114.39	430.33	921.42	69.80	281.16	12.25
frited	9302.59	938.33	2893.76	285.80	444.87	40.75
friten	7869.51	826.83	1352.78	125.00	213.56	15.25
froked	9150.95	888.33	2818.74	268.60	594.73	34.25
frtier	9564.43	924.67	1891.49	174.40	47.09	15.25
fulend	6850.52	630.83	823.78	45.60	110.63	5.75
fumike	6171.22	534.50	370.56	30.20	32.23	1.75
furing	6564.94	591.50	2294.60	171.20	1199.89	76.50
futher	8294.65	810.83	2350.37	173.00	911.43	16.00
futted	9735.55	929.33	3077.35	277.20	610.74	50.75
gammed	9132.01	948.83	2250.54	243.40	205.76	22.75
ganlly	6282.77	637.67	1146.77	91.20	134.13	4.50
gapece	6403.28	585.50	618.08	48.80	66.65	3.25
gecled	9835.00	934.67	2505.32	245.00	279.08	23.50
gelked	9634.87	936.50	2473.73	251.20	438.30	27.75
geoung	6881.07	497.83	1948.90	71.80	231.61	2.00
gerker	9508.53	929.50	2152.96	197.80	177.33	22.50
geving	6689.31	544.00	2046.37	142.00	1183.44	71.75
ghalts	4980.15	692.33	629.87	75.00	65.00	5.75
ghokem	6730.80	673.67	1106.95	64.40	194.81	7.50
gigams	4462.48	656.00	302.83	33.20	11.45	3.25
giviol	4694.19	457.83	607.69	27.80	130.36	3.00
golker	8294.37	891.50	2066.58	193.20	120.68	19.00
gonday	4954.74	555.33	550.78	50.20	178.27	7.75
gotele	8382.84	649.00	1411.60	94.80	23.96	3.75
greagh	3392.57	355.33	676.35	53.00	89.82	9.00
greays	4387.59	651.83	686.15	58.20	258.88	13.50
greced	7967.64	855.33	2269.76	235.80	90.43	9.75
grices	7647.90	1027.50	1194.48	173.20	186.44	16.50
griled	8439.73	905.00	2574.64	279.80	357.69	35.00
grings	4957.65	666.17	914.74	72.40	357.21	16.25
grinte	5368.71	519.33	786.47	82.00	68.54	11.25
griter	8108.02	877.50	2471.28	230.00	479.17	34.75
grrely	6392.81	592.67	1413.95	86.80	267.26	11.25
grtala	4724.38	432.17	283.91	38.60	4.24	1.50
grugly	4710.31	471.50	958.95	73.60	7.12	3.75
grywer	6623.37	722.00	1656.75	148.80	60.28	2.75
gummin	3232.53	378.17	383.17	40.40	45.44	4.75
gunurm	3843.86	386.83	340.86	34.00	11.91	2.25
gupely	5258.21	524.33	1154.18	74.40	193.32	11.25
gurind	7738.46	713.00	1906.53	126.80	354.22	13.00
guteme	5928.56	496.83	411.23	34.20	18.26	2.00
habaid	5718.70	608.33	416.01	39.20	35.22	2.00
hafost	5300.48	467.00	853.36	44.60	123.21	1.25
haking	6147.50	562.33	2072.25	142.40	1212.89	72.50
hanain	4869.85	557.67	702.86	70.00	94.47	6.50
hanngh	4776.67	465.33	994.87	63.00	118.70	6.00
hanugh	4920.32	436.83	958.61	49.80	321.95	3.75
happed	8956.58	933.50	2223.08	248.80	195.08	34.00
hasend	7729.20	712.17	1138.24	64.20	89.21	6.50
hatted	10525.26	1012.83	3480.41	292.20	670.35	54.00
haurth	4257.25	470.00	625.08	41.00	33.29	3.25
hayore	6562.89	539.83	1115.63	43.20	256.24	2.75
heaint	7805.52	655.83	1640.26	123.20	88.03	9.00
hefong	6142.26	446.00	1577.09	84.80	308.41	3.00
hehome	6364.66	441.00	549.30	23.60	126.72	1.50
hehong	5962.92	432.50	1251.43	80.60	52.25	2.25
henned	10257.47	971.33	2443.03	257.60	296.07	29.25
herees	10822.59	1192.33	1345.76	164.80	167.38	13.25
herere	8316.19	647.67	1274.43	92.20	61.84	9.00
herkes	10009.04	1129.17	1451.08	192.00	134.17	15.75
herped	10500.77	969.17	2238.93	247.40	91.26	23.00
