STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
likelf	5087.74	405.33	859.11	35.00	280.36	2.00
likels	6762.01	736.33	838.86	62.00	194.60	11.50
limily	7042.88	594.33	1387.72	79.20	230.49	12.00
lished	9169.36	877.17	2792.46	248.20	199.00	24.75
lissis	5295.33	704.33	654.35	52.60	84.60	7.00
lithed	9641.96	874.00	3358.85	238.40	865.69	16.75
lither	8803.27	821.00	2920.75	178.00	1248.86	18.50
lithin	4827.10	404.50	1325.62	45.40	546.75	4.75
litmas	5793.65	696.33	853.96	47.60	275.18	5.00
litten	8811.11	828.00	2106.75	121.40	825.31	25.25
littes	9845.04	1096.00	2480.03	209.40	865.71	28.75
littly	6970.44	555.00	2203.71	88.40	884.64	13.25
liture	7169.50	499.17	1499.02	45.60	565.12	8.25
litury	6021.10	468.00	1133.11	47.40	408.33	4.50
livies	9576.98	1107.83	1542.08	163.80	336.74	17.75
livind	7552.77	633.00	2009.93	102.40	481.24	9.75
livish	4985.03	428.50	842.47	55.00	213.71	13.25
loadly	6693.85	603.17	1148.01	75.60	77.64	7.75
loards	6148.09	764.00	632.38	61.40	49.57	8.25
loaxed	9487.52	937.67	2102.03	210.60	9.56	5.25
locide	7408.03	593.67	732.07	37.00	227.23	5.25
loderb	4946.39	451.33	757.16	65.60	120.52	5.25
londay	5399.65	552.00	814.69	54.60	320.18	8.25
londed	9824.85	968.67	2776.49	265.00	437.64	30.75
londer	8986.16	915.67	2338.39	204.60	430.31	31.25
londom	4705.92	449.17	858.36	51.60	382.90	8.00
lontes	10053.27	1166.00	2007.30	209.00	395.30	16.00
lontre	7546.87	621.33	1228.99	54.20	290.12	4.00
lookes	9833.25	1110.17	1668.26	193.20	486.22	17.25
looket	9116.91	855.33	1298.50	105.00	557.51	16.75
loonal	5578.06	496.50	776.80	63.40	154.83	5.25
looner	9794.58	925.67	2109.85	192.80	258.73	14.25
losped	9759.54	935.50	2281.63	241.60	93.23	20.25
lossin	4870.43	481.33	609.34	57.40	56.29	7.25
lostle	8255.28	634.33	1681.37	103.20	413.58	15.75
lovere	7148.14	564.17	1148.12	75.20	103.38	13.25
luxual	3432.39	320.67	380.99	27.40	107.79	2.75
maddes	8936.04	1123.67	1274.76	191.40	90.77	18.75
mading	6641.33	618.83	2032.14	163.80	987.24	72.75
madium	5014.10	525.67	390.22	50.60	41.90	8.25
mairty	5457.89	603.17	624.06	63.00	80.90	6.00
maited	10409.82	1053.67	2899.15	284.20	401.78	37.50
makels	7396.83	831.33	800.25	74.00	172.77	12.50
makind	8030.64	713.33	1783.34	107.00	438.68	10.25
makine	8031.84	672.83	1436.80	107.80	381.32	14.25
makins	7631.50	869.83	1441.44	123.00	384.87	14.50
malked	9603.77	991.17	2776.54	276.00	509.63	31.25
mander	9011.95	965.67	2357.14	229.00	263.40	36.25
mandle	7725.30	665.33	1640.22	126.80	174.94	21.25
manind	8686.20	799.67	1910.12	142.20	169.97	14.50
marded	10402.23	1045.00	2732.00	287.00	340.27	27.75
mareal	6074.45	618.17	1234.63	100.60	219.05	13.00
mareer	10290.97	1047.33	2350.08	206.00	255.12	11.75
marent	7590.84	683.67	1301.87	101.40	358.67	17.75
marges	9904.22	1199.33	1452.41	211.60	190.82	23.75
marget	9187.87	944.50	1082.65	123.40	197.25	14.75
marter	10191.09	1032.83	2628.31	250.60	482.13	38.25
marves	9681.79	1173.50	1405.68	200.80	186.58	22.50
matern	6639.07	589.83	1020.84	91.60	165.81	11.75
mather	9438.10	916.00	2836.32	198.00	1145.25	20.25
mathin	5461.93	499.50	1241.19	65.40	443.15	6.50
mathur	5917.26	535.00	1163.39	56.80	302.39	5.75
matice	8297.07	668.50	1323.55	77.60	339.57	13.00
matits	7844.79	902.50	1103.46	116.60	159.07	14.75
matsue	6664.04	576.17	694.72	52.80	85.45	3.00
mattem	8819.87	874.67	1837.48	120.20	543.54	25.00
matume	7158.87	543.17	997.32	53.60	160.27	4.50
medies	10640.75	1180.17	1047.23	170.20	171.00	17.75
meduce	7026.11	488.50	453.70	39.80	46.51	6.75
membit	5344.83	456.17	419.52	45.20	71.27	3.25
